x,y,w,h
0,0,0,0
244,132,178,178
267,136,174,174
283,135,173,173
306,133,170,170
342,136,169,169
355,138,169,169
356,146,166,166
343,143,167,167
331,149,164,164
309,148,167,167
297,148,170,170
293,145,170,170
288,146,175,175
291,144,172,172
291,142,175,175
295,143,173,173
294,147,167,167
300,145,165,165
334,148,164,164
348,145,168,168
350,142,174,174
342,146,170,170
323,145,170,170
297,142,170,170
276,142,177,177
274,144,175,175
295,150,166,166
316,149,161,161
326,147,167,167
325,146,171,171
313,142,183,183
307,128,199,199
290,114,224,224
267,121,246,246
248,128,252,252
220,149,297,297
305,114,215,215
305,122,204,204
332,129,204,204
337,142,204,20
328,143,206,206
307,142,204,204
272,147,211,211
258,146,212,212
263,150,205,205
269,147,212,212
267,141,218,218
273,139,206,206
274,147,209,209
277,146,216,216
287,151,208,208
286,152,208,208
283,152,210,210
258,149,212,212
278,152,212,212
262,141,224,224
280,147,214,214
270,148,214,214
249,145,209,209
268,152,215,215
264,151,207,207
285,147,218,218
258,153,208,208
259,159,213,213
211,153,219,219
237,161,217,217
273,164,210,210
318,172,201,201
329,168,212,212
333,166,221,221
323,169,216,216
316,166,222,222
313,163,226,226
296,151,234,234
266,155,252,252
276,134,238,238
285,127,216,216
288,126,212,212
